overall,vote,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,image,sentiment,cleaned_text,enhanced_rating,rating_diff
1,,False,"02 26, 2017",A4S67SJ9RCC1N,B0172YLIIO,,Amazon Customer,The experience with this Hibbet gift card was awful. It took an hour or so for the store to figure out how to process it!!!,Not satisfied with the difficulties,1488067200,,Negative,experience hibbet gift card awful took hour store figure process it!!!,1.6045,0.6045
5,,True,"04 16, 2015",A1NG9ERWD0187B,B00C5UMB7S,,KAN,Thanks Amazon!!! Perfect Delivery!!! Like the choices in gift cards!,Perfect Delivery!,1429142400,,Positive,thanks amazon!!! perfect delivery!!! like choice gift cards!,4.9447,0.055299999999999905
5,,True,"05 24, 2018",A3CXP57WM2ZCRF,B01B25L7US,{'Gift Amount:': ' 25'},love2fly,Fast shipping and easy gift.,Five Stars,1527120000,,Positive,fast shipping easy gift,4.7602,0.2397999999999998
5,,True,"02 14, 2016",A15PEDUK7UOMCB,B00Q5BOSYC,,Breanna Floyd,Perfect gift for my boss!,Five Stars,1455408000,,Positive,perfect gift boss!,4.8272,0.17279999999999962
5,,True,"05 4, 2015",A3B0XD6W49X0W0,B00ACA3UB4,,Stephanie Williams,Ca not NOT_go NOT_wrong NOT_with a gift card.,Five Stars,1430697600,,Positive,ca not notgo notwrong notwith gift card,4.5523,0.4477000000000002
5,,True,"01 11, 2014",A12EC3ETHSW5SB,B004Q7CK9M,{'Gift Amount:': ' 20'},"John H. Lander, Jr.",The Amazon gift card makes a good gift and a fast delivery. Works well when someone wants many items! Recommended.,Good gift and fast delivery,1389398400,,Positive,amazon gift card make good gift fast delivery work well someone want many items! recommended,4.9294,0.07059999999999977
1,,True,"01 3, 2016",ALPFA513MO795,B00PG40UYQ,,Richard A Bligh,"As a Christmas gift, the idea was for it to be delivered on Christmas eve. It was not NOT_delivered NOT_on NOT_time. Had to have it sent again. It's only $$, so nothing NOT_special NOT_about NOT_the gift itself. The timing was the only thing that mattered and it did not NOT_happen. NOT_Very NOT_disappointed!",Timing is everything!,1451779200,,Negative,christmas gift idea delivered christmas eve not notdelivered noton nottime sent nothing notspecial notabout notthe gift timing thing mattered not nothappen notvery notdisappointed!,2.381,1.3809999999999998
5,,True,"10 2, 2014",A3FY6Y6GYL36SK,B004LLIL5A,,Carolyn Davis,"Another gift. I love shopping at Amazon, so many great ideas and a gift card is an easy gift.",I love shopping at Amazon,1412208000,,Positive,another gift love shopping amazon many great idea gift card easy gift,4.9742,0.025800000000000267
5,,True,"10 15, 2013",A2GMZZ6TDYOHY7,B004KNWWMW,,A. Mefford,"You have to love Amazon Gift Cards. So easy to get a gift card, and print it quickly, for that person you have no NOT_idea NOT_what NOT_they like. Who does not NOT_like NOT_free NOT_Amazon money.",So Easy,1381795200,,Positive,love amazon gift card easy get gift card print quickly person no notidea notwhat notthey like not notlike notfree notamazon money,4.9478,0.052200000000000024
3,,True,"07 23, 2014",A29IL9L3EY8Q7V,B004LLIL5U,,Tom Young,"By having the cards sent to me, I will be able to deliver them personally, but I would have preferred that they be delivered to the girls much earlier. The process was less than simple.","By having the cards sent to me, I will ...",1406073600,,Neutral,card sent able deliver personally would preferred delivered girl much earlier process less simple,3.0,0.0
